"","Maximum Temperature (F)","Minimum Temperature (F)","Precipitation (in.)","AirPtCd"
"1",58.46505608283,39.6462467644521,0.145768087215064,"KPWM"
"2",61.3002588438309,46.0854184641933,0.120316205533597,"KBOS"
"3",63.0224331320104,44.6609145815358,0.136479438314945,"KPVD"
"4",61.4210526315789,42.3252804141501,0.100587084148728,"KMHT"
"5",61.7144089732528,39.2622950819672,0.0888438308886972,"KCEF"
"6",61.8671268334771,45.6712683347714,0.0732528041415013,"KHVN"
"7",64.9758412424504,50.5901639344262,0.132685185185185,"KNYC"
"8",66.6289905090595,47.1518550474547,0.15186976744186,"KACY"
"9",67.4538395168248,50.5392579810181,0.131794616151545,"KPHL"
"10",66.2157031924072,49.4866264020707,0.134521138912856,"KDOV"
"11",62.7713546160483,43.5202761000863,0.115260915867945,"KAVP"
"12",59.7704918032787,40.8723037100949,0.145579399141631,"KSYR"
"13",67.8921484037964,52.9594477998274,0.115849870578085,"KDMH"
"14",70.1061259706644,49.5289042277826,0.124529767040552,"KOFP"
"15",75.8050043140639,56.3908541846419,0.214452830188679,"KILM"
"16",73.4176013805004,52.8041415012942,0.169682997118156,"KRDU"
"17",59.1561691113028,42.8490077653149,0.133517316017316,"KBUF"
"18",78.839516824849,59.137187230371,0.199676787463271,"KCHS"
"19",63.1855047454702,46.0379637618637,0.122251941328732,"KAGC"
"20",69.3192407247627,49.5936151855047,0.151199207135778,"KROA"
"21",85.5073339085419,72.2355478861087,0.215323232323232,"KMIA"
"22",74.4305435720449,52.709232096635,0.132904483430799,"KCLT"
"23",78.1544434857636,57.3589301121657,0.155965073529412,"KCUB"
"24",78.5685936151855,59.718723037101,0.151199309749784,"KSVN"
"25",61.1096605744125,47.9077458659704,0.0866927763272411,"KBKL"
"26",68.5125107851596,47.5832614322692,0.149551345962114,"KCRW"
"27",82.8843830888697,66.7981018119068,0.0994736842105263,"KNIP"
"28",83.8205349439172,68.0733390854185,0.178061127029608,"KTPA"
"29",63.9160899653979,45.4844290657439,0.0956747404844291,"KOSU"
"30",60.7225583405359,44.6292134831461,0.0866897147796024,"KDET"
"31",71.9249352890423,51.8533218291631,0.155310621242485,"KTYS"
"32",75.3226919758412,56.5893011216566,0.16470243902439,"KATL"
"33",66.2018981880932,45.9007765314927,0.116988783433995,"KLUK"
"34",60.1846419327006,42.0966350301984,0.130751565762004,"KGRR"
"35",64.4771354616048,46.5685936151855,0.14048853439681,"KEYE"
"36",78.2675324675325,57.169696969697,0.152398268398268,"KMXF"
"37",73.4469370146678,52.4477998274374,0.145835694050992,"KBNA"
"38",76.5340811044003,56.0802415875755,0.167286384976526,"KBHM"
"39",62.5099223468507,46.7739430543572,0.12653560042508,"KMDW"
"40",58.5970664365833,42.993097497843,0.108494736842105,"KMKE"
"41",78.8144952545298,61.6358930112166,0.175936151855047,"KBFM"
"42",66.7152717860224,46.6315789473684,0.131320939334638,"KSPI"
"43",74.9723899913719,56.4245038826575,0.159952335557674,"KMEM"
"44",80.6531492666091,64.6324417601381,0.218178331735379,"KNEW"
"45",78.0621225194133,58.0724762726488,0.145039647577093,"KHKS"
"46",58.7903364969802,40.55823986195,0.113937381404175,"KDBQ"
"47",52.2269197584124,34.5970664365833,0.119245283018868,"KDLH"
"48",58.2726488352028,41.6738567730802,0.112062062062062,"KMSP"
"49",69.9482312338223,49.183779119931,0.152649325626204,"KSGF"
"50",64.2838654012079,45.6669542709232,0.133823845327605,"KDSM"
"51",77.8931364031277,57.24674196351,0.160642919200695,"KBAD"
"52",69.1416234887737,50.7962003454231,0.105302245250432,"KMKC"
"53",66.7333908541846,43.4193270060397,0.114903474903475,"KLNK"
"54",59.9490940465919,39.3132010353753,0.0996459227467811,"KFSD"
"55",79.0664365832614,60.8886971527179,0.120431406384814,"KDAL"
"56",57.1794650560828,36.5064710957722,0.0662990455991516,"KFAR"
"57",70.2921739130435,48.7249782419495,0.0900782608695652,"KAAO"
"58",73.2950819672131,52.9439171699741,0.135392579810181,"KTIK"
"59",81.3666954270923,60.9171699741156,0.0988869715271786,"KSKF"
"60",59.0267471958585,34.1949956859361,0.0622384937238494,"KBIS"
"61",73.9827437446074,46.6997411561691,0.0749490268767377,"KAMA"
"62",62.1744386873921,36.9300518134715,0.0497592778335005,"KCYS"
"63",65.8817946505608,42.5780845556514,0,"KBJC"
"64",68.4805867126833,40.595340811044,0.0283951682484901,"KSAF"
"65",80.4167385677308,55.7083692838654,0.0362512266928361,"KELP"
"66",68.244176013805,42.0146678170837,0.034025974025974,"KGJT"
"67",65.3868739205527,41.5552677029361,0.018307426597582,"KPVU"
"68",63.1898188093184,34.3899913718723,0.0876044568245125,"KFLG"
"69",68.1846419327006,47.3701466781708,0.0378983382209189,"KSLC"
"70",60.9206212251941,33.7679033649698,0.0365433403805497,"KIDA"
"71",89.1924072476273,66.2329594477998,0.0234317343173432,"KPHX"
"72",78.4361567635904,54.0328697850822,0.0160303413400759,"KSGU"
"73",67.0207075064711,44.6246764452114,0.0391158536585366,"KBOI"
"74",73.6809583858764,61.547288776797,0.0219701086956522,"KSAN"
"75",61.588438308887,42.0638481449525,0.0528732106339468,"KGEG"
"76",77.5366695427092,58.8766177739431,0.03319606087735,"KCQT"
"77",80.1164797238999,55.451251078516,0.0338061041292639,"KFAT"
"78",71.53494391717,43.9810181190682,0.0298833819241982,"KRNO"
"79",76.9025021570319,51.3011216566005,0.0573266423357664,"KSAC"
"80",64.2182916307161,49.55823986195,0.104477998274374,"KBFI"
"81",67.9551337359793,53.2450388265746,0.057848678213309,"KSFO"
"82",65.7299396031061,46.7799827437446,0.115111111111111,"KVUO"
"83",67.1529818496111,44.4598098530683,0.102509328358209,"KEUG"
